voc_id,building_id,voc_date,title,request_contents,building_floor_name,zone_name,reply,reply_write_date,user_group_name,reply_writer,title_clean,all_text,ì£¼ì œ ëŒ€ë¶„ë¥˜,ì£¼ì œ ì¤‘ë¶„ë¥˜,ìž‘ì—…ìœ í˜• ëŒ€ë¶„ë¥˜,ìž‘ì—…ìœ í˜• ì¤‘ë¶„ë¥˜,ì£¼ì œ_score,ìž‘ì—…ìœ í˜•_score,run_id,tagged_at
7295,64,2025-12-01 07:36:00,화장실 휴지걸이 탈락,<p>A동 1층 여자 화장실 두번째 칸 휴지걸이 떨어짐<br></p>,1F,여자화장실,<p>조치 되었습니다</p>,2025-12-01 16:48:26.933438,건축팀,김홍립,화장실 휴지걸이 탈락,A동 1층 여자 화장실 두번째 칸 휴지걸이 떨어짐 화장실 휴지걸이 탈락 조치 되었습니다,환경,청결/미화,청소/정리,청소/정리,7.5,3.9000000000000004,cron_20260114_155846,2026-01-14T16:03:59.140908+09:00
7294,64,2025-12-01 16:28:00,B동 9층 ABC 승강기홀 조명 깜빡임 T5,"<p>[민원] HDC
<br>내용 : B동 9층 ABC 승강기홀 조명 깜빡임 T5
<br>민원인 : 에스원 두성일 
<br>연락처 : 01048121691<br></p>",9F,B동 카카오 페이 / 카카오 증권,<p>교체완료</p>,2025-12-01 16:30:59.565299,관리팀,조현철,B동 9층 ABC 승강기홀 조명 깜빡임 T5,[민원] HDC 내용 : B동 9층 ABC 승강기홀 조명 깜빡임 T5 민원인 : 에스원 두성일 연락처 : 01048121691 B동 9층 ABC 승강기홀 조명 깜빡임 T5 교체완료,시설,출입/도어/승강기,작업,교체,3.9000000000000004,3.5999999999999996,cron_20260114_155846,2026-01-14T16:03:59.140908+09:00
7322,64,2025-12-03 12:08:00,출입문 도어클로저 암 탈락,<p>B동 5층 야외테라스 구 라면존 나가는 출입문&nbsp;도어클로저 탈락 확인부탁드립니다<br></p>,5F,B동 카카오 헬스케어,<p>조치 되었습니다</p>,2025-12-03 16:56:15.250962,건축팀,김홍립,출입문 도어클로저 암 탈락,B동 5층 야외테라스 구 라면존 나가는 출입문 도어클로저 탈락 확인부탁드립니다 출입문 도어클로저 암 탈락 조치 되었습니다,시설,출입/도어/승강기,작업,유지보수,10.8,3.5999999999999996,cron_20260114_155846,2026-01-14T16:03:59.140908+09:00
7321,64,2025-12-03 14:26:00,방화문 문틈 바람소리,<p>B동 11층 비상3호기 진입 도어&nbsp;문틈 바람소리<br></p>,11F,B동 카카오 페이,<p>조치 되었습니다</p>,2025-12-03 16:53:51.366905,건축팀,김홍립,방화문 문틈 바람소리,B동 11층 비상3호기 진입 도어 문틈 바람소리 방화문 문틈 바람소리 조치 되었습니다,시설,출입/도어/승강기,기타,기타,6.8999999999999995,0.0,cron_20260114_155846,2026-01-14T16:03:59.140908+09:00
7326,64,2025-12-04 12:20:00, 문 열릴때 '끼이이' 소음이 발생,<p>문 열릴때 '끼이이' 소음이 발생<br></p>,7F,A동 카카오 공동체,<p>조치 했습니다</p><p><br></p>,2025-12-04 15:45:32.765590,건축팀,김민석,문 열릴때 '끼이이' 소음이 발생,문 열릴때 '끼이이' 소음이 발생 문 열릴때 '끼이이' 소음이 발생 조치 했습니다,환경,소음/냄새/환기,계도/안내,안내,3.5999999999999996,3.5999999999999996,cron_20260114_155846,2026-01-14T16:03:59.140908+09:00
7327,64,2025-12-04 15:45:00,A동 8층  고층부 E/V 홀 조르디방향 자동문,<p>문 열릴때 '끼이이' 소음이 발생<br></p>,8F,A동 카카오 공동체,<p>조치했습니다</p><p><br></p>,2025-12-04 15:48:40.645308,건축팀,김민석,A동 8층 고층부 E/V 홀 조르디방향 자동문,문 열릴때 '끼이이' 소음이 발생 A동 8층 고층부 E/V 홀 조르디방향 자동문 조치했습니다,시설,출입/도어/승강기,계도/안내,안내,16.799999999999997,3.5999999999999996,cron_20260114_155846,2026-01-14T16:03:59.140908+09:00
7377,64,2025-12-09 12:19:00,화장실 세면대 누수,<p>A동 7층 서쪽 남자화장실 세면대 상판 사이 틈새로 인하여 누수발생<br></p>,7F,A동 남 화장실,<p>조치 되었습니다</p>,2025-12-09 16:46:02.640976,건축팀,김민석,화장실 세면대 누수,A동 7층 서쪽 남자화장실 세면대 상판 사이 틈새로 인하여 누수발생 화장실 세면대 누수 조치 되었습니다,시설,급배수/위생,작업,교체,3.75,1.9500000000000002,cron_20260114_155846,2026-01-14T16:03:59.140908+09:00
7378,64,2025-12-09 12:19:00,화장실 세면대 누수,<p>A동 7층 동쪽 여자 화장실 세면대 상판 사이 틈새로인한 누수발생<br></p>,7F,A동 여 화장실,<p>조치 되었습니다</p>,2025-12-09 16:47:59.692525,건축팀,김민석,화장실 세면대 누수,A동 7층 동쪽 여자 화장실 세면대 상판 사이 틈새로인한 누수발생 화장실 세면대 누수 조치 되었습니다,시설,급배수/위생,작업,교체,7.5,3.9000000000000004,cron_20260114_155846,2026-01-14T16:03:59.140908+09:00
7402,64,2025-12-11 15:29:00,올리브영 광장측 출입문 불량,<p>올리브영 광장측 출입문 고장이 나서 안열린다고 합니다<br></p>,1F,올리브 영,<p>조치 되었습니다</p>,2025-12-11 16:51:33.996099,건축팀,김홍립,올리브영 광장측 출입문 불량,올리브영 광장측 출입문 고장이 나서 안열린다고 합니다 올리브영 광장측 출입문 불량 조치 되었습니다,시설,출입/도어/승강기,작업,유지보수,7.199999999999999,3.5999999999999996,cron_20260114_155846,2026-01-14T16:03:59.140908+09:00
7438,64,2025-12-15 07:48:00,화장실 출입문 불량,<p>A동 8층 서쪽 남자 화장실 출입문 바닥에 닿음&nbsp;<br></p>,8F,A동 남 화장실,<p>조치 되었습니다</p>,2025-12-15 16:50:07.432672,건축팀,김홍립,화장실 출입문 불량,A동 8층 서쪽 남자 화장실 출입문 바닥에 닿음 화장실 출입문 불량 조치 되었습니다,환경,청결/미화,청소/정리,청소/정리,7.5,7.5,cron_20260114_155846,2026-01-14T16:03:59.140908+09:00
